Sub_Number,TrialStart,TrialEnd,Trial_Number,Condition,Target_Contrast
83,3126299,3127559,594,FarHighWide,0.012589254117941666
83,3128150,3129015,595,Constant,0.009999999999999995
83,3130002,3130951,596,FarLowWide,0.0630957344480193
83,3131853,3132897,597,Constant_null,0.03981071705534971
83,3133706,3134768,598,Constant,0.012589254117941666
83,3135556,3136560,599,FarLowWide_null,0.02511886431509579
83,3164575,3165835,600,ThreeLinesControl,0.07943282347242812
83,3166425,3167682,601,FarHighNarrow,0.012589254117941668
83,3168274,3169179,602,FarLowNarrow,0.031622776601683784
83,3170124,3170979,603,FarHighWide,0.015848931924611127
83,3171975,3172803,604,FarHighNarrow,0.01584893192461113
83,3173825,3174635,605,Constant,0.009999999999999995
83,3175676,3176339,606,FarLowNarrow,0.02511886431509579
83,3177520,3178379,607,Constant,0.012589254117941666
83,3179352,3180067,608,FarHighNarrow,0.019952623149688792
83,3181185,3181868,609,FarHighNarrow,0.025118864315095798
83,3183035,3183668,610,FarLowWide,0.050118723362727206
83,3184889,3185524,611,FarLowWide,0.0630957344480193
83,3186738,3187540,612,FarHighWide,0.012589254117941666
83,3188589,3189332,613,FarHighWide,0.015848931924611127
83,3190441,3191332,614,FarLowNarrow,0.031622776601683784
83,3192292,3194092,615,ThreeLinesControl,0.0630957344480193
83,3194144,3195173,616,FarHighWide,0.01995262314968879
83,3195995,3196829,617,FarHighNarrow,0.03162277660168379
83,3197844,3198821,618,FarHighWide,0.015848931924611127
83,3199694,3200757,619,FarLowWide,0.07943282347242812
83,3201549,3202709,620,ThreeLinesControl,0.07943282347242812
83,3203393,3204109,621,ThreeLinesControl,0.0630957344480193
83,3205245,3207026,622,FarLowNarrow_null,0.039810717055349706
83,3207078,3208022,623,FarLowWide,0.0630957344480193
83,3208921,3209726,624,FarHighNarrow,0.025118864315095798
83,3210754,3211854,625,Constant,0.015848931924611127
83,3212590,3214389,626,ThreeLinesControl,0.050118723362727206
83,3214441,3215174,627,FarLowNarrow,0.03981071705534971
