0.9304 	WARNING 	Import Error: dlopen(/Applications/PsychoPy.app/Contents/Resources/lib/python3.10/psychtoolbox/PsychHID.abi3.so, 2): Symbol not found: ____chkstk_darwin
  Referenced from: /Applications/PsychoPy.app/Contents/Resources/lib/python3.10/psychtoolbox/.dylibs/libusb-1.0.0.dylib (which was built for Mac OS X 11.0)
  Expected in: /usr/lib/libSystem.B.dylib
 in /Applications/PsychoPy.app/Contents/Resources/lib/python3.10/psychtoolbox/.dylibs/libusb-1.0.0.dylib. Using event module for keyboard component.
265.8987 	DATA 	Stim Disappears
266.4536 	DATA 	Keypress: right
267.1989 	DATA 	Trial 91 begins: FarLowNarrow | 0.01995262314968879
267.4321 	DATA 	Stim Appears
267.6479 	DATA 	Stim Disappears
268.5176 	DATA 	Keypress: left
268.9482 	DATA 	Trial 92 begins: FarHighNarrow | 0.03981071705534971
269.1846 	DATA 	Stim Appears
269.4007 	DATA 	Stim Disappears
270.2615 	DATA 	Keypress: right
270.7010 	DATA 	Trial 93 begins: FarLowNarrow | 0.025118864315095794
270.9343 	DATA 	Stim Appears
271.1512 	DATA 	Stim Disappears
272.0215 	DATA 	Keypress: right
272.4514 	DATA 	Trial 94 begins: FarLowWide | 0.025118864315095794
272.6839 	DATA 	Stim Appears
272.9007 	DATA 	Stim Disappears
273.6054 	DATA 	Keypress: left
274.2010 	DATA 	Trial 95 begins: FarLowWide | 0.031622776601683784
274.4354 	DATA 	Stim Appears
274.6522 	DATA 	Stim Disappears
275.3974 	DATA 	Keypress: left
275.9525 	DATA 	Trial 96 begins: FarLowNarrow | 0.025118864315095794
276.1857 	DATA 	Stim Appears
276.4025 	DATA 	Stim Disappears
277.1335 	DATA 	Keypress: right
277.7028 	DATA 	Trial 97 begins: Constant | 0.03981071705534971
277.9361 	DATA 	Stim Appears
278.1519 	DATA 	Stim Disappears
278.9735 	DATA 	Keypress: right
279.4523 	DATA 	Trial 98 begins: Constant | 0.03981071705534971
279.6859 	DATA 	Stim Appears
279.9027 	DATA 	Stim Disappears
280.6054 	DATA 	Keypress: right
281.2030 	DATA 	Trial 99 begins: Constant | 0.031622776601683784
281.4352 	DATA 	Stim Appears
281.6521 	DATA 	Stim Disappears
282.5334 	DATA 	Keypress: right
282.9524 	DATA 	Trial 100 begins: FarLowNarrow | 0.025118864315095794
283.1856 	DATA 	Stim Appears
283.4025 	DATA 	Stim Disappears
284.0776 	DATA 	Keypress: left
284.7027 	DATA 	Trial 101 begins: FarHighNarrow | 0.03981071705534971
284.9352 	DATA 	Stim Appears
285.1435 	DATA 	Stim Disappears
285.7175 	DATA 	Keypress: right
286.4437 	DATA 	Trial 102 begins: FarLowWide | 0.03981071705534971
286.6695 	DATA 	Stim Appears
286.8853 	DATA 	Stim Disappears
287.5255 	DATA 	Keypress: right
288.1856 	DATA 	Trial 103 begins: FarLowNarrow | 0.031622776601683784
288.4195 	DATA 	Stim Appears
288.6355 	DATA 	Stim Disappears
289.4054 	DATA 	Keypress: right
289.9357 	DATA 	Trial 104 begins: FarHighNarrow | 0.03981071705534971
290.1624 	DATA 	Stim Appears
290.3792 	DATA 	Stim Disappears
291.0775 	DATA 	Keypress: right
291.6795 	DATA 	Trial 105 begins: FarLowNarrow | 0.031622776601683784
291.9128 	DATA 	Stim Appears
292.1287 	DATA 	Stim Disappears
292.7495 	DATA 	Keypress: right
